UCS,RD,TC,W,E,OB
37.3288728693541,2.39434433308834,223.75647583627136,74,71,23.840569070138137
34.548872616199,2.3661292750248,238.32668457637467,72,55,21.814886425952718
32.6004485087874,2.30492752271903,299.0786823101297,51,49,23.982444207196526
34.3287698776404,2.5105884044003,249.4040026539404,58,74,22.92779894344447
32.6004485087874,2.40400096362873,248.3425936792594,63,52,20.642581070468903
32.7476189268218,2.4215790099303,273.07927522964104,65,51,24.57086936800878
37.9541170926269,2.5123057132274,252.49973964808487,60,82,25.127967187216388
34.5403979234947,2.74464148238458,263.24654784584095,55,66,24.667466156495205
32.7081781411653,2.53369944034457,242.30962608153766,73,72,27.037622414160765
33.967326730955,2.74545728091265,238.92765399452384,69,74,20.805217311109534
32.8478569960323,2.46554411605391,226.8809620658723,61,83,20.597022367672828
33.3539459694232,2.44278403945501,226.57831623793578,70,78,20.414799448051912
38.1579611903388,2.56008092287539,293.90401056573774,73,58,23.538633038764257
33.9662172188111,2.55770765917301,227.80763333423505,80,66,21.07529658741542
32.6646844687342,2.6259103845478,216.81123848344905,63,65,27.211838489339797
36.7079152177784,2.48935387071497,226.1103127653871,51,70,20.560944213780175
35.8385780001935,2.50656529797723,235.90787138177978,67,62,21.358351045812555
32.6831740451707,2.51837363634743,270.969202697555,53,66,24.757132711724186
33.0301953258555,2.32995949481631,211.80790215995904,66,60,22.95571322055384
33.5284949855294,2.65630116703522,227.16747837732973,78,69,25.516830228362284
33.3975098913487,2.56611994566418,236.24930363547145,65,67,24.185973125457547
37.9570452641194,2.51160268887847,244.05229948836512,57,69,24.083478990840575
33.9765449126015,2.56482789448881,231.3249515519256,64,82,24.772084069917042
32.6755990274799,2.63759953061696,295.1693883119065,61,78,25.882947787830837
33.6141986990498,2.44293438807078,241.9463407187761,65,47,23.640816287302705
35.679961876294,2.60755408844431,210.64314326384448,71,51,24.07693917512766
32.8896411509756,2.53842455384901,277.8813423734159,50,76,23.04394564793065
33.4927426490126,2.42440404096162,210.361040496,73,68,20.126587873436787
36.7810398063377,2.72953900295102,323.56240015096927,75,69,25.39821039721742
38.0710455077785,2.45925945992792,283.9710957851013,71,51,21.021023067457755
33.3589257603806,2.33488858267627,283.32153603133264,50,65,26.146851945153802
36.6448400271293,2.68011249109613,241.30341315283817,80,70,22.091337881434654
33.7364081132626,2.54742717885942,308.2366483020437,71,72,24.281955741570947
33.0213775640649,2.76527281622122,297.2970554542523,72,71,23.70390692371942
34.3694764121264,2.59453466452458,245.4922166980183,73,70,22.664372784499445
33.9873947467888,2.56457378907317,253.76401222881387,68,50,23.307761680275007
37.3636986400843,2.3246422345654,271.91974270712717,71,76,23.29635873274186
33.3896961927991,2.72935383602995,271.73072776752,68,70,24.843080525574262
35.1732400432775,2.51284411476709,210.361040496,69,75,25.357865614089402
33.6034503318295,2.66998599979476,276.73257503725586,75,65,22.84333943307347
33.8291098619595,2.58886346565122,241.5601163920199,80,50,21.43694047703622
33.4464639201031,2.40364029105657,342.57335846446904,59,79,20.390437032279127
32.8094374321407,2.4764049417877,352.2235971482055,79,71,25.77894640419157
32.9150452143332,2.57807017419812,223.56393043120497,65,61,24.890548567515278
34.3414511851527,2.55039008194565,220.78341843051328,62,56,23.24738470923871
36.2521241878498,2.68985680570828,287.60286132811063,52,59,23.145508411679963
