UCS,RD,TC,W,E,OB
49.1266576944503,2.68696601106515,269.8634103244422,70,57,25.766177796183573
47.9288746754071,2.6350600561212,242.20601609759538,79,75,22.55678028179845
39.7043377393879,2.58384299157845,249.03720487688682,77,79,25.251635316595454
41.1162716889097,2.61711917618549,277.2271623822532,74,67,24.50460321164051
45.2386411941818,2.71778729031444,250.82968834206633,70,64,23.478007943526446
48.7812820541817,2.77025459006236,242.47957061486312,73,80,26.682787493934278
40.9213586417331,2.66583072358799,293.2494924809624,76,61,24.856029913915425
43.2668839355151,2.53632410088734,260.71599704417554,78,58,24.140545480028937
42.1342756976174,2.70505650977299,298.13978728605525,76,72,23.99109430020755
49.0583574279376,2.65335564823529,303.2423922687678,76,75,22.42781960748508
42.1255804586623,2.64601547309328,267.9298784905495,74,73,23.580371036428957
49.1266576944503,2.7653691397326,300.35735019005295,70,48,22.479299924894487
46.387961508679,2.79475505914083,261.7820230777738,56,75,22.88070807922403
43.4413476400514,2.75681087902885,273.7180712183074,58,53,28.0965747833252
39.0466544976046,2.55916162304193,279.1317197297438,70,61,22.487644373565967
49.1266576944503,2.79520196953427,327.3055136651226,65,48,27.891921793227155
42.5500577401494,2.7045907570622,283.0809308491576,74,61,24.20399222117468
41.1417220932374,2.71556186375915,298.8888299728967,74,74,25.20883117011899
48.2751260413962,2.68390719566954,335.724360221924,79,48,28.0965747833252
44.5676118951922,2.79348231479611,283.53680969478575,73,48,27.903640654408072
45.0386773489899,2.69842365060632,289.1791610195173,64,60,25.546089622255707
45.1995988384272,2.61017096977035,284.6269101609049,79,64,21.68369158076957
43.5031777214376,2.66120864868155,363.1555381896001,75,57,27.38181340002464
46.4635952100763,2.6434306937216,281.76143613099066,72,48,26.13754654400613
48.154664301296,2.71783513349155,271.9555722100609,73,83,24.274774502409127
40.647230277318,2.58906980236564,325.8359450006921,73,78,23.940745959027602
40.5896709354463,2.52772931277384,335.14638831297157,75,76,20.932171210787747
44.9353105211147,2.66675525590748,304.87395104937104,80,68,23.148875512355225
39.2202709614269,2.65871659398829,284.88702708561596,73,59,24.304301468020032
46.8362443939474,2.7515654248679,267.73214565851197,57,73,25.413063033567198
42.5241715563797,2.58405481927131,339.4935814222831,75,56,25.772945333459024
42.4680664098833,2.70611480073683,311.84620969571114,71,53,28.0965747833252
41.0307053053403,2.61634958513455,259.44326440980814,75,83,23.417875143129887
42.1970988651604,2.68211872823702,245.63569882962105,70,61,23.2327128174808
41.3957979845363,2.55698282623408,308.450707068518,76,56,25.087963339080137
49.1266576944503,2.65316992958712,357.7428808873407,65,60,24.247990828399015
46.0060167651624,2.69441594526773,328.9334727843734,76,75,25.118741661408365
42.4485105009989,2.58615310234922,330.37791790113465,70,61,22.852835998622993
