trial,pac,epochs,n_sample,score,mean_abs_corrdiff_OB,mean_Δmean_%,mean_Δstd_%
n250_pac8_ep1500,8,1500,250,0.039651873188415024,0.04492464530284091,2.425943940814488,3.9225990625407543
n250_pac5_ep1200,5,1200,250,0.06230553749857326,0.07415803878154685,1.876806214710297,7.02855090011228
n250_pac10_ep1200,10,1200,250,0.07014546277014672,0.08273475280237011,1.8684890834093173,8.383816460953007
n250_pac4_ep1500,4,1500,250,0.0770710191487974,0.07068365419941615,3.4756782674785085,13.854735047095346
n250_pac2_ep1200,2,1200,250,0.0777028360489011,0.09091388174990667,3.870434535679504,7.706818963799051
n250_pac2_ep1000,2,1000,250,0.08326000708707801,0.09761944186445749,2.427074326422152,9.917096657779604
n250_pac4_ep1200,4,1200,250,0.08715617197840976,0.11480329732403678,2.033206423580707,7.10389036841314
n250_pac2_ep1500,2,1500,250,0.08853576719785844,0.11676141949967885,2.312041932772917,6.927415816252658
n250_pac10_ep1500,10,1500,250,0.09886378150435797,0.1262804824245909,1.508523370837647,10.039222653964073
n250_pac8_ep1000,8,1000,250,0.10304640855514484,0.1513260130170661,1.9548248872975273,4.17057548515506
n250_pac4_ep1000,4,1000,250,0.11120592368571389,0.14213216066381637,2.7954886068270053,10.167825036885029
n250_pac5_ep1500,5,1500,250,0.11925308858170659,0.15978705701459842,2.535342057206682,9.15508512926709
n250_pac10_ep1000,10,1000,250,0.12037226928841993,0.17380175312322482,1.4728049345667422,6.5728037726757735
n250_pac5_ep1000,5,1000,250,0.12068369892424749,0.17209907601810462,1.621557081177987,7.090569575514375
n250_pac8_ep1200,8,1200,250,0.15415480428474826,0.21530274949808495,1.7168682722563204,10.76970902069232
